TCP OBJ Time Taken
1	1	274.638000011
1	2	338.181999922
1	3	323.853999853
1	4	345.061999798
1	5	315.944999933
1	6	349.995000124
1	7	328.674000025
2	1	345.654999971
2	2	341.129999876
2	3	349.822000027
2	4	331.257000208
2	5	333.44900012
2	6	353.72300005
2	7	345.980999947
3	1	355.844000101
3	2	339.696000099
3	3	327.895999908
3	4	196.361999989
3	5	186.046999931
3	6	196.492000103
3	7	166.442000151
4	1	200.930000067
4	2	167.834000111
4	3	172.068000078
4	4	136.105999947
4	5	151.508999825
4	6	166.217000008
4	7	129.974999905
5	1	156.23300004
5	2	159.21600008
5	3	164.957000017
5	4	151.820000172
5	5	133.812999964
5	6	155.222999811
5	7	173.157999992
6	1	159.131000042
6	2	158.029000044
6	3	157.73300004
6	4	163.691999912
6	5	139.945999861
TCP OBJ Time Taken
1	1	130.006999969
1	2	138.279999971
1	3	127.465000153
1	4	78.9990000725
1	5	128.250999928
1	6	143.82799983
1	7	134.585000038
2	1	157.049000025
2	2	127.905999899
2	3	169.779999971
2	4	126.11500001
2	5	149.967999935
2	6	118.895999908
2	7	144.230000019
3	1	169.203999996
3	2	124.658000231
3	3	141.362999916
3	4	140.664000034
3	5	140.936999798
3	6	157.64199996
3	7	125.328999996
4	1	158.864000082
4	2	154.959000111
4	3	167.565999985
4	4	119.302999973
4	5	159.572999954
4	6	160.789999962
4	7	113.419999838
5	1	165.90899992
5	2	145.177000046
5	3	161.120000124
5	4	148.569000006
5	5	128.101999998
5	6	52.5799999237
5	7	150.136000156
6	1	137.694000006
6	2	126.134000063
6	3	144.720000029
6	4	149.292000055
6	5	136.77699995
6	6	131.56099987
6	7	132.868999958
7	1	141.286000013
7	2	141.44900012
7	3	147.217000008
7	4	144.864000082
7	5	152.003000021
7	6	118.375999928
7	7	135.81099987
