TCP OBJ Time Taken
1,1,16.875
1,2,13.3119997978
1,3,11.1879999638
1,4,16.8579998016
1,5,11.7130000591
1,6,13.0799999237
1,7,13.5940001011
2,1,66.8870000839
2,2,11.8919999599
2,3,13.6100001335
2,4,13.5309998989
2,5,15.4849998951
2,6,11.1319999695
2,7,65.4549999237
3,1,14.6769998074
3,2,12.0639998913
3,3,13.0940001011
3,4,13.2660000324
3,5,64.4560000896
3,6,12.6879999638
3,7,29.3450000286
4,1,10.6370000839
4,2,11.0319998264
4,3,16.6740000248
4,4,11.8280000687
4,5,13.9230000973
4,6,14.1719999313
4,7,16.7100000381
5,1,33.861000061
5,2,15.0009999275
5,3,13.5789999962
5,4,66.6540000439
5,5,13.3289999962
5,6,11.7429997921
5,7,9.90700006485
6,1,14.8289999962
6,2,10.3430001736
6,3,13.3130002022
6,4,15.2039999962
6,5,13.2349998951
6,6,17.0009999275
6,7,25.4390001297
7,1,24.1420001984
7,2,13.6500000954
7,3,16.765999794
7,4,13.881000042
7,5,15.9049999714
7,6,66.3479998112
7,7,11.3910000324
